"GeneID","GeneName","control.Expression","treat.Expression","log2FoldChange","pvalue","padj","Up.Down.Regulation","shNC_HT29.1","shNC_HT29.2","shNC_HT29.3","shHMGA1_HT29.1","shHMGA1_HT29.2","shHMGA1_HT29.3"
"ENSG00000188042.8","ARL4C",1531.651771,375.9015462,-2.026661575,2.1e-120,3.47e-116,"Down",14.53,13.84,13.94,3.35,3.38,3.73
"ENSG00000125378.16","BMP4",8577.198401,3587.325688,-1.257597761,1.41e-111,1.17e-107,"Down",205.23,206.47,210.13,85.26,96.45,88.8
"ENSG00000115414.19","FN1",2066.146414,636.8709547,-1.69786951,1.2e-109,4.95e-106,"Down",13.57,12.73,12.74,3.78,5.14,4.98
"ENSG00000131746.13","TNS4",1743.375018,477.4997895,-1.868310939,1.1e-109,4.95e-106,"Down",17.03,16.13,17.24,5.07,4.97,4.21
"ENSG00000135373.12","EHF",3604.834544,1432.206888,-1.331693133,2.11e-101,6.95e-98,"Down",43.08,43.92,41.78,17.38,15.52,14.9
"ENSG00000143248.13","RGS5",980.5740972,219.2706668,-2.160913826,9.3e-98,2.56e-94,"Down",17.84,20.02,19.67,5.7,4.46,3.78
"ENSG00000109321.11","AREG",6245.954028,3021.728557,-1.047547882,2.97e-97,7.01e-94,"Down",230.07,231.51,221.06,111.21,111.59,112.36
"ENSG00000038427.16","VCAN",3837.95721,1225.992489,-1.646388486,2e-94,4.13e-91,"Down",18.21,19.54,17.56,7.4,6.18,6.76
"ENSG00000104419.14","NDRG1",10233.38491,4822.875895,-1.085317835,1.27e-87,2.32e-84,"Down",154.81,155.8,164.03,82.94,71.76,76.55
"ENSG00000142627.13","EPHA2",5684.395869,2472.2838,-1.201162666,7.46e-85,1.23e-81,"Down",57.68,60.36,59.94,23.91,27.65,26.27
"ENSG00000120875.9","DUSP4",7009.613222,3306.862513,-1.083871776,2.43e-74,3.65e-71,"Down",46.42,46.31,45.19,20.72,23.65,20.98
"ENSG00000145632.15","PLK2",5137.254719,1533.318944,-1.744339786,1.95e-72,2.68e-69,"Down",90.84,98.1,87.83,33.08,18.9,25.71
"ENSG00000023839.11","ABCC2",3400.606229,7649.879018,1.169644972,6.13e-71,7.78e-68,"Up",23.8,25.51,25.6,51.31,68.84,63.28
"ENSG00000120068.6","HOXB8",749.3430028,157.5030554,-2.250246431,1.17e-69,1.38e-66,"Down",26.06,25.26,26.39,5.89,4.67,5.88
"ENSG00000005020.13","SKAP2",1619.159145,625.3617715,-1.372481858,1.67e-69,1.84e-66,"Down",17.56,19.5,15.47,6.01,6.28,6.17
"ENSG00000163032.11","VSNL1",633.3792783,122.314372,-2.372475738,2.19e-69,2.26e-66,"Down",14.77,15.52,15.92,2.48,3.61,2.82
"ENSG00000180644.8","PRF1",638.3832297,123.7721901,-2.366735556,8.43e-67,8.19e-64,"Down",9.79,9.25,10.71,1.96,2.15,1.92
"ENSG00000267761.3","MIR4527HG",36.16459288,383.377039,3.406114119,1.4e-66,1.28e-63,"Up",0.2,1.94,1.34,3.84,5.55,8.22
"ENSG00000088832.17","FKBP1A",6682.171914,3504.231673,-0.931218942,3.17e-66,2.75e-63,"*",337.39,347.79,353.47,180.74,191.78,185.14
"ENSG00000013588.8","GPRC5A",9515.025051,5531.560488,-0.782520924,1.27e-62,1.05e-59,"*",71.32,73.41,70.55,42.39,50.09,39.36
"ENSG00000118523.6","CCN2",714.0200341,95.29597478,-2.905477372,4.14e-61,3.25e-58,"Down",11.9,12.16,11.73,1.88,0.94,2
"ENSG00000250920.2","AC105460.1",17420.92939,7665.723835,-1.184327663,1.09e-60,8.18e-58,"Down",133,129.92,124.78,58.96,64.66,51.79
"ENSG00000159216.18","RUNX1",1867.798696,795.0685168,-1.232187877,1.45e-60,1.04e-57,"Down",12.09,12.35,11.4,5.38,5.79,5.16
"ENSG00000142798.20","HSPG2",4571.681319,2438.710115,-0.906606562,2.82e-60,1.94e-57,"*",12.89,12.59,12.63,7.06,7.6,7.64
"ENSG00000075223.14","SEMA3C",1449.674519,516.9259372,-1.487699525,8.71e-60,5.75e-57,"Down",15.43,14.24,13.58,5.43,5.8,4.23
"ENSG00000129116.19","PALLD",4492.713773,7682.300639,0.773951272,1.72e-57,1.09e-54,"*",44.81,49.97,47.76,90.78,86.21,84.4
"ENSG00000146674.15","IGFBP3",429.8305753,53.16178255,-3.015306725,2.26e-57,1.38e-54,"Down",7.18,7.85,7.14,0.61,1.35,0.92
"ENSG00000091317.8","CMTM6",7685.63348,4552.513628,-0.755500842,2.82e-57,1.66e-54,"*",88.21,88.68,85.5,52.63,52.5,52.18
"ENSG00000140450.9","ARRDC4",896.1955246,310.3920443,-1.529721942,2.22e-55,1.26e-52,"Down",8.14,8.24,8,2.72,2.92,2.88
"ENSG00000092820.18","EZR",43141.2124,25027.72899,-0.785539334,2.27e-52,1.25e-49,"*",517.28,532.92,548.78,292.06,316.13,328.96
"ENSG00000116285.13","ERRFI1",19550.84365,10840.91726,-0.850744034,4.59e-52,2.44e-49,"*",237.14,245.41,225.48,133.07,127.67,134.07
"ENSG00000117394.21","SLC2A1",12054.32878,6593.833954,-0.870361857,3.01e-51,1.55e-48,"*",254.13,280.9,254.16,150.4,134.03,125.7
"ENSG00000130066.16","SAT1",30624.51159,17501.49802,-0.807208423,7.89e-51,3.95e-48,"*",1358.42,1407.67,1397.97,759.39,859.41,851.1
"ENSG00000108375.12","RNF43",5589.338696,2991.212833,-0.901947034,1.58e-50,7.65e-48,"*",49.75,44.86,45.65,22.65,21.91,24.11
"ENSG00000118777.12","ABCG2",122.3773999,840.0454122,2.779130169,2.23e-50,1.05e-47,"Up",1.61,1.3,1.25,6.87,11.62,10.49
"ENSG00000119125.16","GDA",1918.199566,839.0524273,-1.19291996,2.93e-49,1.34e-46,"Down",15.19,15.76,14.76,6.05,7.87,7.15
"ENSG00000177494.6","ZBED2",804.3618665,266.8805838,-1.591650337,2.93e-47,1.31e-44,"Down",13.47,14.56,14.88,5.2,4.6,4.6
"ENSG00000134531.10","EMP1",1638.439263,683.3507054,-1.261624107,3.79e-44,1.65e-41,"Down",16.93,17.3,13.66,6.73,5.8,6.02
"ENSG00000164674.15","SYTL3",1305.28854,601.6324443,-1.117414481,8.63e-44,3.65e-41,"Down",17.71,19.33,18.62,8.69,8.71,8.98
"ENSG00000184588.18","PDE4B",4020.751612,6699.892821,0.736672803,9.09e-44,3.75e-41,"*",43.11,49.66,44.42,70.07,71.63,71.12
"ENSG00000198959.12","TGM2",1239.485391,476.3649878,-1.379601981,1.25e-43,5.03e-41,"Down",10.68,11.19,12.69,6.33,4.81,4.07
"ENSG00000139318.8","DUSP6",13258.37693,8769.464362,-0.596343543,2.04e-43,8.02e-41,"*",191.47,195.28,183.35,122.26,125.81,125.05
"ENSG00000145730.20","PAM",9780.985217,18262.47286,0.900830432,2.14e-43,8.2e-41,"*",151.92,153.18,152.29,260.02,314.61,308.52
"ENSG00000142910.16","TINAGL1",2354.385496,1039.50821,-1.179449407,3.54e-43,1.33e-40,"Down",45.13,42.41,44.94,23.08,18.85,17.52
"ENSG00000112414.14","ADGRG6",4659.53415,7625.082629,0.710567247,1.65e-42,6.05e-40,"*",29.2,30.73,25.02,52.82,48.75,47.68
"ENSG00000138772.13","ANXA3",1972.260528,793.0275777,-1.314407197,4.92e-42,1.73e-39,"Down",59.81,62.47,64.39,21.54,28.35,24.59
"ENSG00000089280.18","FUS",7818.192451,12097.15604,0.629760916,4.85e-42,1.73e-39,"*",262.26,255.43,256.08,402.12,412.49,408.63
"ENSG00000018408.14","WWTR1",3667.270953,2163.999938,-0.761006404,8e-41,2.75e-38,"*",35.6,35.34,35.46,20.64,19.66,20.5
"ENSG00000106366.8","SERPINE1",863.7619356,346.9953143,-1.31571756,1.15e-40,3.88e-38,"Down",9.97,10.33,10.28,3.87,4.4,4.13
"ENSG00000135074.15","ADAM19",6563.102259,4063.077865,-0.691804899,1.4e-40,4.61e-38,"*",36.68,38.9,36.98,23.43,24.17,22.63
"ENSG00000100297.16","MCM5",3426.92185,5738.17375,0.743678361,5.08e-40,1.64e-37,"*",43.92,45.63,47.39,72.18,76.89,77.87
"ENSG00000120093.11","HOXB3",542.4690908,151.8744622,-1.836661637,6e-40,1.91e-37,"Down",19.28,20.45,15.67,6.21,4.24,2.1
"ENSG00000108854.16","SMURF2",8905.712056,5608.605792,-0.667088782,9.2e-40,2.87e-37,"*",98.65,98.8,93.3,64.39,60.57,57.21
"ENSG00000171552.13","BCL2L1",7065.026115,4344.424581,-0.701529789,8.01e-39,2.45e-36,"*",141.46,146.35,143.66,89.39,98.52,90.49
"ENSG00000134013.15","LOXL2",2303.545406,1248.255458,-0.883942821,1.21e-38,3.62e-36,"*",25.62,27.53,26.72,15.05,15.24,13.6
"ENSG00000178773.15","CPNE7",2284.304791,3889.986558,0.76801001,1.9e-38,5.6e-36,"*",35.89,38.19,36.44,66.09,64.46,69.83
"ENSG00000156299.13","TIAM1",4950.547347,2992.351488,-0.726308396,2.89e-38,8.38e-36,"*",31.65,33.45,29.12,18.59,18.97,20.24
"ENSG00000182158.15","CREB3L2",2895.129655,1675.393374,-0.789128086,6.08e-37,1.73e-34,"*",14.69,14.34,13.46,8.44,8.1,7.84
"ENSG00000144136.11","SLC20A1",6866.878702,4435.128878,-0.630678452,1.71e-36,4.77e-34,"*",89.44,94.05,90.23,58.46,61.15,59.03
"ENSG00000078114.18","NEBL",1877.023211,899.6090622,-1.061076391,1.85e-36,5.09e-34,"Down",14.4,15.32,12.66,6.97,5.52,6.56
"ENSG00000054598.8","FOXC1",3711.102926,2239.695878,-0.728545168,2.2e-36,5.95e-34,"*",35.07,35,34.67,20,21.53,22.19
"ENSG00000081189.15","MEF2C",782.618844,1525.473938,0.962875779,3.13e-36,8.32e-34,"*",9.07,12.62,11.86,23.74,14.67,19.78
"ENSG00000143341.12","HMCN1",315.58955,61.21433632,-2.36610796,4.46e-36,1.17e-33,"Down",0.95,1.08,0.96,0.13,0.24,0.58
"ENSG00000197249.13","SERPINA1",371.867004,95.36929862,-1.96318993,1.07e-35,2.76e-33,"Down",9.74,8.38,9.34,2.47,2.62,2.25
"ENSG00000168646.13","AXIN2",1300.499401,593.0406535,-1.132862823,1.7e-35,4.33e-33,"Down",14.83,15.39,15.07,7.99,7.4,6.06
"ENSG00000116237.16","ICMT",4811.006236,2840.944768,-0.759967886,3.22e-35,8.06e-33,"*",51.85,54.08,52.87,29.4,33.32,28.97
"ENSG00000109680.11","TBC1D19",589.2346562,1340.876398,1.186262064,3.44e-35,8.48e-33,"Up",7.47,7.36,5.97,11.08,12.64,13.18
"ENSG00000121691.6","CAT",2573.748761,1466.245976,-0.811744081,7.22e-35,1.75e-32,"*",46.2,45.92,47.02,24.6,27.18,28.36
"ENSG00000019186.10","CYP24A1",5365.373681,2946.847454,-0.864506273,7.89e-35,1.89e-32,"*",62.01,70.7,61.73,40.63,38.4,37.25
"ENSG00000102678.6","FGF9",414.3331661,118.8712442,-1.801391549,1.14e-34,2.68e-32,"Down",3.65,3.98,3.46,0.96,1.74,1.07
"ENSG00000144730.18","IL17RD",2572.013799,1449.801715,-0.827042783,1.16e-34,2.7e-32,"*",11.69,11.77,10.53,6.36,6.68,5.73
"ENSG00000113916.18","BCL6",829.8183576,353.1740684,-1.232416155,2.35e-34,5.39e-32,"Down",11.39,12.9,9.97,4.96,5.38,4.86
"ENSG00000152104.12","PTPN14",2166.658134,1089.363833,-0.99198566,3.06e-34,6.93e-32,"*",5.81,6.1,5.8,3.83,2.7,3.2
"ENSG00000132470.14","ITGB4",14433.7382,9279.071239,-0.637392677,3.79e-34,8.46e-32,"*",94.36,96.5,104.33,62.38,68.13,67.26
"ENSG00000138166.6","DUSP5",3573.474195,1776.111335,-1.008605351,3.93e-34,8.66e-32,"Down",51.15,53.09,51,27.68,22.16,28.47
"ENSG00000109654.15","TRIM2",2999.181675,1675.021447,-0.840389348,1.24e-33,2.7e-31,"*",18.45,17.19,16.37,10.42,9.69,9.11
"novel.22340","novel.22340",1741.961878,962.4546802,-0.855922537,1.42e-33,3.05e-31,"*",9.71,9.95,9.48,5.18,5.36,5.65
"ENSG00000130363.11","RSPH3",1418.046729,744.8756765,-0.928833517,3.29e-33,6.97e-31,"*",10.9,9.94,10.52,5.55,5.4,4.93
"ENSG00000170689.10","HOXB9",1069.595471,497.9050062,-1.103122836,4.19e-33,8.76e-31,"Down",15.38,15.41,17.01,7.22,7.51,7.75
"ENSG00000138759.19","FRAS1",2556.841125,1366.850712,-0.903506838,5.53e-33,1.14e-30,"*",6.69,6.68,6.32,3.7,3.4,3.24
"ENSG00000157227.13","MMP14",1055.913804,479.6754665,-1.138361512,6.92e-33,1.41e-30,"Down",18.37,18.89,18.4,7.5,9.17,10.12
"ENSG00000146535.14","GNA12",2535.945821,1337.412576,-0.923079335,1.17e-32,2.35e-30,"*",16.9,17.5,17.15,8.54,10.37,10.25
"ENSG00000091409.15","ITGA6",6083.78583,3900.511681,-0.641305973,1.37e-32,2.72e-30,"*",46.15,47.65,44.71,28.73,29.29,31.99
"ENSG00000196159.11","FAT4",535.9718147,146.7672364,-1.868627191,1.64e-32,3.22e-30,"Down",1.23,1.65,1.44,0.39,0.26,0.31
"ENSG00000128191.16","DGCR8",1465.042681,2476.917992,0.757603409,3.5e-32,6.8e-30,"*",14.08,13.06,14.29,23.68,21.43,22.91
"ENSG00000117115.13","PADI2",602.3063595,227.200987,-1.40652839,4.2e-32,8.06e-30,"Down",5.24,5.17,5,1.87,1.84,2.2
"ENSG00000204574.13","ABCF1",2386.92002,4056.629182,0.765131205,6.59e-32,1.25e-29,"*",35.88,36.1,36.56,53.24,63.05,62.64
"novel.27885","novel.27885",317.9805913,1007.162768,1.663286241,1.13e-31,2.11e-29,"Up",3.17,2.52,3.03,6.96,10.53,9.71
"ENSG00000213551.5","DNAJC9",1848.008291,2940.573088,0.67012612,1.48e-31,2.74e-29,"*",17.81,17.92,17.31,27.95,28.38,28.43
"ENSG00000126709.15","IFI6",967.9883528,422.5486013,-1.1958724,1.97e-31,3.62e-29,"Down",61.58,63.12,65.32,31.8,25.73,27.54
"ENSG00000186352.9","ANKRD37",234.1348353,42.70874441,-2.454736209,4.66e-31,8.45e-29,"Down",16.36,15.71,17.42,3.62,2.99,3.05
"ENSG00000253368.4","TRNP1",1894.728897,912.9927505,-1.053316128,4.93e-31,8.84e-29,"Down",43.04,44.39,45.65,19.2,25.15,20.69
"ENSG00000145358.6","DDIT4L",1045.621303,518.300768,-1.012499002,5.47e-31,9.71e-29,"Down",15.75,15.83,14.95,7.6,8.18,7.53
"novel.25582","novel.25582",387.7666718,869.8740454,1.165617709,6.35e-31,1.12e-28,"Up",2.09,2.06,1.91,4.76,4.17,4.51
"ENSG00000101361.17","NOP56",6487.166344,9498.838769,0.550162722,8.05e-31,1.4e-28,"*",188.61,188.37,189.76,281.52,295.81,289.05
"ENSG00000179833.4","SERTAD2",2994.31962,1792.079901,-0.740593264,8.55e-31,1.47e-28,"*",24.81,24.09,23.17,13.07,14.07,13.04
"ENSG00000185551.15","NR2F2",1729.189971,957.6078512,-0.852589489,9.42e-31,1.6e-28,"*",18.25,18.93,17.69,9.96,11.42,11.11
"ENSG00000119801.13","YPEL5",1150.598789,600.3199806,-0.938581265,1.74e-30,2.93e-28,"*",20.92,21.95,21.11,11.71,11.34,11.43
"ENSG00000021355.13","SERPINB1",2841.024076,1609.530917,-0.819770768,1.98e-30,3.31e-28,"*",50.9,53.17,51.82,25.68,32.7,27.92
"ENSG00000106546.14","AHR",1771.917646,930.946474,-0.928541428,2.95e-30,4.87e-28,"*",14.73,14,11.88,6.89,6.01,5.35
"ENSG00000134107.4","BHLHE40",2372.64929,1112.418787,-1.092798851,7.87e-30,1.29e-27,"Down",26.63,29.34,25.98,14.32,10.05,13.23
"ENSG00000101608.12","MYL12A",7241.491291,4790.991742,-0.595962505,3.29e-29,5.33e-27,"*",278.66,274.75,286.22,180.54,186.9,193.33
"ENSG00000197747.9","S100A10",4038.445975,2487.65251,-0.699015264,3.33e-29,5.33e-27,"*",354.36,356.24,382.62,230.68,221.65,242.65
"ENSG00000018236.15","CNTN1",421.0577232,145.8533576,-1.52949943,6.28e-29,9.97e-27,"Down",2.98,3.8,3.21,1.69,1.21,1.14
"ENSG00000171793.15","CTPS1",1826.280219,2940.67604,0.687239713,6.84e-29,1.08e-26,"*",28.64,27.19,27.27,44.46,45.04,45.67
"ENSG00000187957.8","DNER",406.3659157,137.9577645,-1.558552744,8.7e-29,1.36e-26,"Down",4.92,4.59,4.59,1.65,1.63,1.59
"ENSG00000125844.15","RRBP1",10954.48201,7542.359297,-0.538433484,1.16e-28,1.8e-26,"*",100.73,98.6,97.98,71.78,71.73,71.12
"ENSG00000275216.2","AL161431.1",1108.340838,540.155374,-1.03695525,1.3e-28,1.99e-26,"Down",9.9,9.56,9.6,4.16,5.14,4.98
"ENSG00000197785.13","ATAD3A",2639.734159,4237.359632,0.682772931,1.34e-28,2.03e-26,"*",40.83,41.37,46.46,68.51,68.89,69.75
"ENSG00000007968.7","E2F2",780.2462382,1432.566577,0.876600787,2.82e-28,4.23e-26,"*",5.42,5.59,6.23,10.51,10.34,10.31
"ENSG00000124788.18","ATXN1",1085.613974,534.3893685,-1.022547985,3.18e-28,4.72e-26,"Down",5.55,5.39,4.57,2.52,2.29,2.45
"ENSG00000100097.12","LGALS1",9734.732582,5604.418477,-0.796576663,4.21e-28,6.21e-26,"*",1336.02,1400.52,1459.92,748.91,933.78,852.69
"ENSG00000281376.1","ABALON",452.3911842,161.5691012,-1.485419495,5.69e-28,8.32e-26,"Down",10.24,9.01,9.57,3.34,3.44,3.67
"ENSG00000162344.4","FGF19",1347.390175,716.8601165,-0.910404152,6.66e-28,9.64e-26,"*",29.22,29.97,31.2,15.08,17.4,16.17
"ENSG00000182742.6","HOXB4",365.7929023,102.4699688,-1.835825925,1.28e-27,1.84e-25,"Down",7.62,6.67,7.62,2.5,1.82,1.91
"ENSG00000170017.12","ALCAM",3703.714769,2415.73264,-0.616512204,1.4e-27,2e-25,"*",30,29.62,27.34,18.71,19.1,19.33
"ENSG00000184384.14","MAML2",545.3556851,202.0246707,-1.432665992,1.5e-27,2.12e-25,"Down",2.76,2.83,2.52,1.17,0.94,0.93
"ENSG00000116678.19","LEPR",762.5876013,354.939931,-1.103328187,1.51e-27,2.12e-25,"Down",6.08,6.13,5.57,2.64,2.63,2.88
"ENSG00000130513.6","GDF15",3331.698806,2049.264723,-0.70115162,1.55e-27,2.15e-25,"*",124.68,122.12,130.89,73.55,81.04,82.32
"ENSG00000114315.4","HES1",1265.386184,661.7070948,-0.935313096,2.21e-27,3.04e-25,"*",36.43,38.07,36.29,21.06,17.17,18.51
"ENSG00000065882.16","TBC1D1",3497.793038,2229.160137,-0.649944669,2.62e-27,3.57e-25,"*",48.94,51.22,52.42,35.38,34.37,35.47
"ENSG00000075213.11","SEMA3A",2963.457655,5495.133941,0.890873204,2.95e-27,3.99e-25,"*",22.81,23.1,20.32,37.9,49.58,44.01
"ENSG00000148671.13","ADIRF",2312.589604,1100.413652,-1.071463323,3e-27,4.02e-25,"Down",262.88,284.5,261.33,94.39,112.26,122.63
"ENSG00000167747.14","C19orf48",2419.380512,3822.724286,0.659963461,6.43e-27,8.56e-25,"*",73.94,75.6,78.53,116.43,128.13,124.26
"ENSG00000133687.16","TMTC1",341.0116574,99.07408467,-1.78324142,1.17e-26,1.53e-24,"Down",1.82,2.01,1.64,0.5,0.58,0.37
"ENSG00000166750.10","SLFN5",2095.916282,1213.513617,-0.788390795,1.17e-26,1.53e-24,"*",9.15,9.87,8.56,5.77,4.7,5
"ENSG00000174028.6","FAM3C2",1860.269019,1075.415103,-0.790617631,1.2e-26,1.56e-24,"*",148.86,167.48,156.55,87.64,93.17,101.2
"ENSG00000150938.10","CRIM1",1574.055642,868.3501117,-0.858137792,2.93e-26,3.78e-24,"*",10.81,11.53,10.23,5.37,5.89,5.5
"ENSG00000124942.14","AHNAK",38523.65379,22338.27618,-0.786226684,3.77e-26,4.83e-24,"*",85.88,85.92,77.65,52.19,48.25,45.3
"ENSG00000137309.19","HMGA1",38506.234,23981.55017,-0.683167114,5.3e-26,6.73e-24,"*",785.21,809.56,854.4,465.29,565.19,507.95
"ENSG00000059804.16","SLC2A3",1147.603897,436.0275542,-1.39613356,6.68e-26,8.42e-24,"Down",11.54,12.71,11.67,5.52,3.6,4.55
"ENSG00000017483.15","SLC38A5",625.406028,1172.175522,0.906323586,7e-26,8.76e-24,"*",16.04,18.33,19.5,38.51,34.59,32.85
"ENSG00000239672.7","NME1",7616.605788,11598.53391,0.606722322,1.1e-25,1.37e-23,"*",383.61,390.05,427.88,592.71,629.92,645.79
"ENSG00000137962.13","ARHGAP29",10891.78964,7363.766112,-0.564725314,1.23e-25,1.51e-23,"*",58.89,60.93,51.65,38.98,38.95,38.09
"ENSG00000235269.1","LINC02331",606.0821349,246.5842492,-1.297432668,1.5e-25,1.83e-23,"Down",13.37,13,14.75,5.88,5.83,5.14
"ENSG00000203727.4","SAMD5",1017.585519,442.826193,-1.20033758,1.76e-25,2.13e-23,"Down",6.15,6.02,5.13,2.88,2.46,2.55
"ENSG00000100726.15","TELO2",1020.872926,1693.731126,0.730401573,1.99e-25,2.4e-23,"*",16.74,17.06,16.89,25.69,31.59,30.24
"ENSG00000011028.14","AC080038.1",2098.386939,1249.881396,-0.747489532,2.05e-25,2.46e-23,"*",13.64,14.47,13.81,8.06,8.8,8.37
"ENSG00000168264.10","IRF2BP2",1681.817298,1023.594607,-0.716376538,4.57e-25,5.42e-23,"*",27.15,32.61,26.16,19.28,17.39,17.11
"ENSG00000165376.10","CLDN2",601.9752401,261.0053752,-1.20562463,4.73e-25,5.57e-23,"Down",1.95,1.95,2.04,0.75,0.74,0.72
"ENSG00000110841.14","PPFIBP1",5061.912846,2903.616923,-0.801831538,7.12e-25,8.33e-23,"*",55.54,59.24,47.31,35.19,28.78,25.16
"ENSG00000063244.12","U2AF2",4738.256802,7203.904538,0.604422672,7.22e-25,8.39e-23,"*",93.4,99.27,102.66,160.76,158.26,159.37
"ENSG00000133131.15","MORC4",2898.547721,1875.722186,-0.627884073,7.33e-25,8.46e-23,"*",31.55,32.52,32.33,22.34,21.42,22.42
"ENSG00000167772.12","ANGPTL4",779.2085978,283.9505126,-1.45637008,7.43e-25,8.52e-23,"Down",16.78,17.14,18.48,7.23,4.94,6.96
"ENSG00000135046.14","ANXA1",12999.83559,8615.06133,-0.593560405,7.55e-25,8.59e-23,"*",396.31,415.35,406.08,248.78,289.21,277.47
"ENSG00000005884.18","ITGA3",21115.11858,13818.04046,-0.611723308,8.54e-25,9.66e-23,"*",172.82,174.74,181.17,104.86,125.83,115.19
"ENSG00000205542.11","TMSB4X",6119.475451,4091.59347,-0.580745184,8.66e-25,9.73e-23,"*",620.39,612.43,643.67,411.27,445.44,441.79
"ENSG00000120149.9","MSX2",534.54326,223.0843475,-1.260717417,9.8e-25,1.09e-22,"Down",10.95,10.53,11.05,3.99,4.84,4.32
"ENSG00000050405.13","LIMA1",3601.423795,2392.255832,-0.590195696,1.11e-24,1.23e-22,"*",37.52,40,35.89,24.29,25.08,25.79
"ENSG00000152952.12","PLOD2",2158.819461,1280.294734,-0.753766629,1.14e-24,1.26e-22,"*",25.92,24.97,22.26,16.57,14.74,15.07
"ENSG00000169045.17","HNRNPH1",9932.871626,14602.86505,0.555968679,1.57e-24,1.72e-22,"*",341.85,363.54,316.4,492.64,462.79,433.61
"ENSG00000180198.16","RCC1",4508.182971,6452.289214,0.517265036,2.11e-24,2.29e-22,"*",81.42,85.64,84.8,117.81,121.86,116.86
"ENSG00000185567.7","AHNAK2",8085.753452,4814.324672,-0.748048776,2.43e-24,2.63e-22,"*",26.37,25.85,24.61,13.78,19.15,18.16
"ENSG00000092201.10","SUPT16H",10694.58661,14936.07927,0.481920773,2.65e-24,2.84e-22,"*",90.66,92.99,89.24,125.15,124.79,134.39
"ENSG00000165895.19","ARHGAP42",1292.931949,568.3506945,-1.185793035,2.82e-24,3.01e-22,"Down",8.1,5.89,5.59,4.51,2.85,2.65
"ENSG00000135048.14","CEMIP2",1752.118284,908.3735239,-0.947742611,2.98e-24,3.15e-22,"*",11.53,11.33,11.41,6.71,5.26,6.86
"ENSG00000109084.14","TMEM97",1515.26131,2468.538515,0.704090544,4.03e-24,4.24e-22,"*",23.12,23.62,24.85,40.76,37.09,39.58
"ENSG00000163513.17","TGFBR2",1443.488613,839.6215005,-0.781748711,4.91e-24,5.13e-22,"*",11.59,11.97,10.68,6.78,6.56,6.73
"ENSG00000108424.10","KPNB1",11349.32915,15482.54143,0.448035283,6.25e-24,6.49e-22,"*",120.36,125.64,111.51,164.15,171.46,164.23
"ENSG00000154237.13","LRRK1",3427.698728,1969.301933,-0.79955599,7.42e-24,7.66e-22,"*",9.95,10.69,9.71,6.45,5.67,4.6
"ENSG00000104907.12","TRMT1",1311.1363,2123.035177,0.695310606,1.03e-23,1.06e-21,"*",24.79,26.85,28.88,42.33,45.4,47.13
"ENSG00000130164.13","LDLR",4110.568605,2784.280571,-0.562033374,1.42e-23,1.45e-21,"*",33.78,33.9,34.03,23.29,23.83,21.73
"ENSG00000260834.1","AC009055.2",485.1508908,170.2342993,-1.510911777,1.71e-23,1.73e-21,"Down",17.31,15.73,14.57,6,6.5,4.51
"ENSG00000231131.7","LNCAROD",634.766122,1164.45162,0.875353663,2.16e-23,2.18e-21,"*",5.73,5.77,5.77,12.64,9.81,10.5
"ENSG00000150054.18","MPP7",3520.348779,5203.037951,0.563635859,2.37e-23,2.37e-21,"*",31.72,29.9,28.2,46.78,41.68,43.86
"ENSG00000106537.8","TSPAN13",1910.873331,1203.452374,-0.667053098,2.64e-23,2.63e-21,"*",42.14,40.84,41.18,25.28,26.66,27.04
"novel.1155","novel.1155",755.831472,244.3939508,-1.628856016,3.41e-23,3.37e-21,"Down",187.1,172.53,148.98,69.73,63.81,42.89
"ENSG00000126218.11","F10",207.0133903,50.1467288,-2.045496591,3.97e-23,3.9e-21,"Down",5.93,6.13,5.85,1.54,1.47,1.36
"ENSG00000173852.14","DPY19L1",6768.129855,4725.414724,-0.518316296,4.18e-23,4.08e-21,"*",53.89,54.56,48.87,35.23,35.9,36.94
"ENSG00000261780.2","LINC02582",672.6786869,247.1293883,-1.444650965,4.59e-23,4.46e-21,"Down",42.87,39.98,41.46,18.08,17.15,11.63
"ENSG00000142875.19","PRKACB",4973.963654,7042.773565,0.501747733,4.89e-23,4.72e-21,"*",49.82,50.46,46.06,68.99,66.13,68.81
"ENSG00000105835.12","NAMPT",5540.665687,3863.812304,-0.520034308,5.1e-23,4.9e-21,"*",78.41,82.61,74.42,54.56,54.23,51.61
"ENSG00000185585.20","OLFML2A",1285.836788,660.8005774,-0.96042068,5.29e-23,5.05e-21,"*",7.55,6.65,7.31,4.26,3.69,3.39
"ENSG00000167779.9","IGFBP6",912.6284121,431.7394596,-1.079866612,5.37e-23,5.09e-21,"Down",49.46,44.57,52.45,20.53,26.74,24.12
"ENSG00000035862.12","TIMP2",6449.462417,4451.821218,-0.534783256,7.15e-23,6.74e-21,"*",69.54,68.73,71.52,48.51,46.83,50.85
"ENSG00000240891.7","PLCXD2",1300.998083,631.8220238,-1.042028705,7.89e-23,7.4e-21,"Down",6.76,7.21,5.8,4.35,3.24,2.88
"ENSG00000046604.13","DSG2",9198.118074,6422.158419,-0.518280464,8.56e-23,7.98e-21,"*",59.25,59.6,55.89,42.62,40.59,39.76
"ENSG00000092758.17","COL9A3",1705.037881,1050.830628,-0.698273636,1.03e-22,9.53e-21,"*",37.1,34.54,34.84,22.64,25.39,24.2
