"GeneID","GeneName","control.Expression","treat.Expression","log2FoldChange","pvalue","padj","Up.Down.Regulation","shNC_HT29.1","shNC_HT29.2","shNC_HT29.3","shHMGA1_HT29.1","shHMGA1_HT29.2","shHMGA1_HT29.3"
"ENSG00000133195.11","SLC39A11",1694.239743,1571.696293,-0.108315572,0.172591301,0.313127917,"*",25.49,27.85,25.37,23.23,27.6,24.04
"ENSG00000165185.14","KIAA1958",1741.571767,1559.552273,-0.159258015,0.172600645,0.313127917,"*",6.42,6.25,5.61,6.33,4.28,4.53
"ENSG00000273297.1","AC009275.1",27.13985239,17.18560259,-0.659212435,0.172731851,0.313297091,"*",2.12,3.1,2.56,1,2.51,1.58
"ENSG00000125870.11","SNRPB2",1963.189737,2089.480986,0.089945018,0.172716434,0.313297091,"*",73.07,73.82,72.6,68.16,77.54,74.5
"ENSG00000125046.14","SSUH2",12.24678218,20.96473223,0.77556167,0.172804117,0.313393734,"*",0.31,0.34,0.38,0.61,0.31,0.43
"ENSG00000133985.3","TTC9",340.8641207,300.9014893,-0.179905502,0.172892773,0.313485644,"*",2.57,2.5,2.21,2.37,2.02,2.08
"ENSG00000091640.8","SPAG7",845.7652599,913.4126892,0.11100953,0.172875169,0.313485644,"*",41.16,41.87,41.93,44.1,47.17,46.4
"ENSG00000147130.14","ZMYM3",2076.067905,2215.643557,0.093872173,0.172972135,0.313560664,"*",13.98,14.23,14.09,16.39,15.28,14.69
"ENSG00000196531.10","NACA",12218.92088,12813.07037,0.068499349,0.172958003,0.313560664,"*",853.15,852.19,830.73,832.21,924.74,924.81
"ENSG00000250317.8","SMIM20",819.6350208,751.9270506,-0.124388925,0.173003567,0.313583212,"*",41.84,40.62,45.86,39.59,39.89,41.79
"ENSG00000127585.12","FBXL16",1438.005378,1336.704043,-0.105388994,0.173098209,0.313685876,"*",15.39,30.76,15.46,15.73,14.1,14.24
